[-9,-44,59,-1,22,-21,-17,71,51,-95,-99,-23,67,17,57,-69,-61,73,-16,-28,79,85,82,-44,-2,-40,-21,76,22,-51,-20,25,84,-74,87,-45,-33,50,-37,-5,-50,-28,-84,-52,30,-6,95,72,88,51,-84,30,35,20,-59,-77,-2,69,-18,16,9,95,14,-38,-68,49,-59,-33,-65,-100,-50,-41,-36,27,-81,25,-86,-57,86,57,-68,42,23,-50,-30,50,-77,96,85,-7,-13,-31,-72,-70,21,59,-42,-90,94,11]
[63,-47,33,-75,79,14,7,17,-40,-86,55,-28,-98,-57,-56,25,-85,-33,45,-55,69,69,-56,-87,-99,-18,-94,-36,2,13,25,72,-19,-32,91,13,-43,61,-85,-61,-98,17,82,-69,46,66,-1,65,40,99,50,8,-59,-48,-59,39,47,19,28,-77,87,-50,87,-51,-46,74,61,-99,16,-48,19,23,-90,-27,6,77,28,-21,45,-43,40,-58,3,45,68,20,75,52,86,9,4,10,-81,-71,-25,51,-17,39,39,-33]
[15,-10,-31,-90,-82,-66,-45,-85,-8,2,-54,-66,-53,63,-73,78,76,-65,50,95,34,-9,9,-8,-15,-18,58,96,26,63,72,51,33,64,91,-49,-72,92,51,76,2,6,5,3,-79,-33,-33,61,-100,-54,9,-72,-93,-26,-92,-34,53,-76,-56,54,-51,-15,72,15,0,-18,-87,-54,-30,39,4,88,2,88,71,20,27,62,-38,73,-76,-11,72,55,-78,38,-75,-78,43,-76,80,-36,79,15,-95,21,91,40,76,-64]
[46,-26,46,71,-16,-8,95,49,23,-76,73,91,-85,-80,33,-11,-75,63,3,15,-12,-58,26,19,8,31,-8,92,66,22,91,40,83,-38,-94,10,-44,-50,6,-29,-98,33,52,-86,59,-22,-79,25,-35,0,15,-78,38,50,-88,82,95,-86,16,45,-3,-41,48,26,-87,-93,95,16,-90,50,36,-95,56,4,-94,-58,20,61,-21,-69,18,-61,88,-11,26,-89,7,65,-66,48,79,-10,44,-92,-96,-66,64,81,-10,-71]
[87,-37,-72,19,-90,-73,-29,-33,-20,15,53,92,-35,38,39,-49,65,-25,26,57,44,89,45,2,-57,78,29,-11,-73,-4,87,-50,-27,-85,-38,26,86,-80,-31,-58,68,9,-1,67,-52,-78,-21,72,-15,-56,-81,-40,-15,60,-69,14,-50,-6,31,54,0,27,-95,6,74,16,-68,-19,74,-56,82,50,-4,-37,-22,-72,-23,-9,-27,-87,-68,-29,46,-47,-91,-77,49,-44,2,-93,-74,10,-61,-41,-43,89,76,67,-5,52]
[-8,62,14,-100,28,52,62,60,58,77,45,-71,0,-32,-24,25,72,-60,30,51,-15,16,-32,-56,-66,-56,-22,-48,-51,83,-38,-80,-70,-28,94,98,-27,70,58,22,1,51,74,-64,-33,-42,-51,-54,91,-88,99,19,-68,72,24,88,-22,70,-39,74,75,-62,38,40,71,-24,9,-90,-11,95,-49,22,77,-46,-68,-89,23,-73,-20,-5,20,-58,39,-91,-36,20,-4,58,23,-71,89,31,24,54,-86,84,-33,11,-32,64]
[54,64,-68,77,-74,-5,-83,93,-22,73,-11,-36,-60,-96,-45,-40,-57,-84,-3,-25,94,48,3,24,11,-56,44,-35,1,21,-93,14,22,-39,34,50,-84,19,-54,82,23,-83,10,22,4,-92,-26,-92,55,-24,-54,-26,-59,61,-65,52,-100,72,-68,73,-9,-18,17,-54,-65,-6,96,-51,-82,45,62,-26,62,99,-55,-16,90,99,-47,-46,27,32,67,-65,-83,-34,4,75,-61,86,83,-85,48,-90,11,-60,79,-46,31,-10]
[-66,24,-33,26,-49,-85,2,42,15,93,68,57,-62,3,-70,51,-57,68,27,45,55,26,-87,-32,-44,20,64,66,-40,-77,-41,-26,-100,11,-83,-11,-6,76,-98,69,60,10,86,-31,54,-38,-60,57,65,-25,3,-53,-70,11,-59,-70,91,33,73,30,65,-69,7,-28,46,-33,-39,-24,-57,-16,36,-24,0,-30,-33,75,-50,-67,-20,65,37,62,61,-76,-76,-46,0,-32,-66,-59,-11,-9,-6,-69,80,41,-27,52,-93,-38]
[-34,-43,38,27,82,68,-7,-83,-14,-36,72,36,-30,-53,-48,-87,43,-48,58,66,59,-96,61,-90,67,-6,49,43,-23,66,-86,-85,-17,-100,-87,-41,-52,-70,-31,-30,-62,-81,-24,41,80,-92,-83,81,16,18,89,-47,11,50,-79,-94,-52,-54,35,-11,-78,9,6,99,90,-92,-25,-13,-59,-46,-38,31,30,-51,-35,-8,46,2,-77,-76,-85,-77,48,-100,-2,-86,-72,59,21,33,-43,-36,-95,-48,-7,-93,40,-41,80,-25]
[69,76,90,30,70,-73,-17,-15,46,-83,59,-38,-35,90,-75,-76,29,97,67,-23,-50,-47,16,-30,52,72,40,58,-73,19,-77,59,4,34,1,22,-22,78,45,-75,-9,12,5,-84,4,-42,-47,-81,-26,8,9,-67,-17,88,-84,-50,-75,-23,78,-64,32,74,-95,-40,-46,67,-72,-40,26,-57,-88,27,25,17,64,97,-15,-8,3,-73,-93,52,-45,-42,80,-90,-64,-8,82,51,-47,-18,84,26,-62,-27,23,54,-1,-78]
