[94,11,30,-34,34,72,-51,23,-100,-26,92,-40,-18,15,-22,-11,-58,-90,-29,-77,-5,85,6,60,33,45,95,-4,42,-79,-26,83,-57,-60,-25,4,72,4,3,-66,-95,-33,-33,24,-90,93,60,-54,48,30,15,-87,-64,38,49,60,67,-35,66,-67,-98,36,50,-22,84,29,-64,-19,-26,74,86,32,-94,81,-44,-43,40,39,28,69,-24,2,94,63,72,-53,93,-21,-75,4,58,96,31,-10,96,67,19,31,-25,65,91,-79,77,70,-40,-98,57,-49,-45,51,-54,-3,64,3,-96,43,-84,-2,73,34,-48,17,55,-45,30,-88,48,-99,-44,-55,22,95,32,42,-65,-40,98,94,72,-35,-64,-76,-10,91,21,-48,5,-74,-61,6,-59,25,-68,-91,-63,-41,-13,-40,26,17,-56,-85,4,-87,-4,-100,38,62,-39,-1,96,65,14,79,-80,95,-94,18,94,-8,-98,12,97,-56,56,-74,89,-44,13,-80,30,71,7,29,48,-3,39,47,-55,-8]
[93,-29,-71,81,-82,-66,-88,-55,-91,7,-7,-16,-43,-49,-43,63,93,62,53,-71,-19,40,-92,39,-24,-80,12,-4,11,36,96,-83,13,41,98,86,-41,64,55,57,30,-87,63,88,47,87,89,45,82,-11,78,-32,18,95,29,16,-12,67,55,94,46,-23,-53,95,18,-46,-67,-16,-54,45,-77,38,46,0,-71,54,5,12,-27,-29,-96,-47,-59,63,-59,53,-97,84,-78,-41,33,-22,8,-87,-94,-36,-61,-3,-71,-82,-57,-58,5,-86,5,-86,77,-93,86,-17,73,9,47,84,-48,-25,93,82,-5,-87,-37,-5,-30,42,82,41,94,53,-79,-30,-90,34,37,-46,6,-5,-70,-55,-67,39,-93,-89,-99,79,6,54,-79,-32,-93,-25,-14,24,7,55,18,76,12,59,13,9,43,49,36,82,5,1,12,-86,-82,61,-17,-22,-29,77,-14,-75,-83,77,22,-23,7,19,34,25,-83,-69,1,-87,29,-10,16,34,98,59,99,47,-50,-28,25,23]
[72,-60,13,-77,-25,15,-98,-30,-74,83,-71,-28,40,62,85,44,37,56,-65,-15,94,-78,40,14,-19,-1,-12,49,65,10,-4,57,-63,8,-58,76,38,95,-22,63,46,-88,81,-9,-58,-15,-70,-72,80,45,-59,-36,86,0,99,22,-35,-18,-43,16,-35,27,92,9,0,0,-79,75,-63,-91,23,4,72,-86,-83,-21,-21,-77,-24,46,70,-45,33,-78,78,-33,27,-14,-6,62,63,-93,27,24,-69,-8,-82,-35,0,-71,40,47,91,-87,2,19,7,-16,-100,-20,49,-82,70,56,-36,34,-35,-9,6,-14,19,-23,91,-13,-53,0,8,-100,27,-74,-70,-18,-62,-73,24,30,-28,34,22,86,84,-52,20,-16,81,62,15,-51,36,73,-66,54,33,7,95,-7,-20,-21,-61,-83,-2,19,23,-87,-88,61,77,-86,-1,-56,-70,4,97,-12,-55,-28,-49,-99,32,-53,35,4,90,-91,-29,-58,-75,58,39,49,52,-19,80,29,95,44,-31,55,-15,-89]
[3,-52,-69,-4,-37,-53,-40,-71,94,-61,-71,-52,-39,72,1,-8,74,-16,-69,-7,27,-5,59,82,-40,-54,90,-43,6,-89,38,-13,-57,-82,25,20,99,74,-15,-79,73,-70,-48,-24,6,93,13,-41,21,-51,99,-59,-95,24,88,30,71,76,-80,13,-89,60,3,-73,-45,-58,45,5,9,-24,-12,66,-50,98,-89,-82,-44,44,53,26,69,27,-60,13,24,9,-85,-81,44,35,-70,4,59,-41,64,-29,17,53,21,47,-76,21,-79,-27,-66,81,-83,7,48,-35,-71,-79,82,-44,69,-38,25,84,-36,-66,-72,-50,94,25,-14,95,21,-58,-26,90,50,17,-4,9,17,66,72,97,-22,-61,13,54,65,-69,27,-49,0,-60,-93,76,12,10,2,-75,-11,46,53,-52,90,-47,53,77,-4,53,-29,29,-78,56,85,73,70,50,-95,41,69,-38,17,-59,44,3,-73,-26,-55,69,-5,80,56,33,76,-74,-65,69,84,79,52,-39,-49,-96,37,-87]
[68,82,97,44,36,-19,29,36,35,61,-55,-89,-35,-36,4,53,-61,8,-35,-5,94,-98,4,40,-61,7,-56,86,-8,-86,-93,19,-42,75,35,-40,-57,-6,49,66,74,-73,79,-41,92,-75,78,59,-63,-84,-74,-28,-60,-61,25,-30,-37,-19,66,76,79,36,-6,79,-70,-20,20,-88,18,57,18,-53,-3,35,22,-19,69,-71,-67,-1,6,-44,-95,44,-67,-66,-89,85,-92,2,-23,-54,19,-91,44,85,1,5,-44,-22,44,-87,70,33,-19,58,-18,-57,47,-55,59,-23,97,57,8,26,-46,37,20,96,69,-51,-68,-46,-59,-3,47,-52,-37,-65,-21,-25,29,-37,-10,26,-63,-21,-1,85,-61,-28,54,-56,-93,26,-30,-96,-93,34,-70,-70,79,-90,21,-14,69,29,-51,-98,15,1,57,22,39,37,-85,-17,-46,-41,-22,49,40,66,-96,46,4,-17,-74,-68,15,69,31,-28,-55,22,67,3,-54,92,-59,-7,94,76,-42,-87,96,-39,-77,80]
[-40,-28,-11,-54,79,-85,8,41,-37,24,-58,-65,-2,-52,-35,-74,52,28,-10,69,77,-94,95,62,47,46,83,38,-24,23,48,-51,58,4,-63,-9,-32,32,78,42,0,-74,17,41,98,-63,-46,47,-81,-80,-58,-16,85,15,66,-35,-5,-55,-74,-74,-80,-99,-96,38,89,-81,-9,1,-22,-40,-86,-15,-92,8,-17,-87,-56,67,-96,81,11,34,75,-52,91,92,96,46,65,13,57,-23,87,-27,21,82,36,-45,85,32,-26,-28,28,21,-49,-97,-64,-79,-37,-5,-98,-14,32,83,-59,-32,-33,-95,-64,-32,58,-96,34,-73,63,78,-90,-94,60,66,21,-28,75,-69,-52,-40,32,-14,-28,-33,32,-96,83,-85,-75,26,-44,53,80,84,90,-19,-50,52,-77,48,53,-87,67,-50,56,52,-2,-52,90,-3,50,-8,32,-23,-13,92,-78,74,1,68,11,32,-64,83,-50,55,-57,-13,-44,64,83,-85,27,-27,-100,78,97,-17,-89,-6,-46,26,30,30]
[-98,44,-58,72,95,82,23,-99,-87,-85,-7,-30,58,1,29,11,-100,-35,73,74,73,-86,1,-62,63,85,-6,-60,60,3,-40,42,-61,-36,-5,-46,-65,95,-67,-10,32,69,-89,1,-92,-30,29,92,48,-46,87,-29,71,-16,-54,97,-95,21,-58,-45,55,71,0,-21,-25,-8,3,-76,20,-55,-5,62,-25,-34,99,98,-5,-61,-89,64,-99,7,-84,-42,59,64,23,45,-80,0,51,15,-19,-97,55,-85,-15,-72,-73,-4,-53,24,25,-2,55,53,3,83,-64,43,-44,5,-26,-19,16,-75,-32,-7,40,-44,-93,45,81,-73,99,65,-85,40,17,85,21,-37,-58,21,87,-34,-72,90,1,53,-93,82,58,53,17,-22,11,-73,-20,4,-83,23,75,-12,24,5,99,55,-50,99,96,-82,7,-15,85,15,-42,22,89,85,99,-64,-94,49,99,94,-10,-23,21,59,39,96,-42,29,7,5,8,31,-43,97,46,92,-82,-37,-93,54,48,-82,-100,6]
[74,-81,75,36,-8,31,5,-64,62,-1,-66,18,-53,-11,-84,40,-8,89,-79,22,-24,-91,-59,-29,-13,-67,-61,-63,-74,35,58,77,61,86,-64,-48,-21,44,-14,77,41,-18,-98,4,93,-29,-43,-90,61,71,-45,2,-51,37,17,-96,45,19,-42,-28,71,-3,57,-84,-1,29,17,61,4,1,-32,-4,38,5,78,-79,-40,91,34,80,-49,32,-1,-37,60,25,76,18,15,21,-21,-75,28,69,39,91,-53,97,96,-61,-38,5,-7,60,13,92,76,8,-15,20,12,-58,-26,58,-61,96,-52,39,-99,90,87,-44,-12,-91,-35,1,62,-78,-98,20,-60,98,6,56,52,-10,-40,-52,49,43,67,-2,73,-56,49,55,64,-29,45,-87,-12,16,29,47,64,-69,73,83,-4,-87,-61,37,85,-78,47,-13,49,-6,-83,20,46,-64,-76,-46,-85,-82,-63,-65,-41,18,40,6,-15,-52,-54,-2,-41,-23,33,90,99,-41,-64,37,35,-69,-82,-83,40,31]
[60,-68,-23,72,-68,-17,17,-17,-99,-80,6,-90,45,71,-44,21,22,25,17,93,52,31,42,6,13,-21,22,44,42,-2,-39,-17,-26,-43,92,35,28,5,-93,12,-82,-84,-73,86,-37,91,77,29,-24,-47,-82,-31,59,41,8,52,68,-25,14,22,4,-90,-100,48,-14,-58,-98,48,4,36,-72,-35,35,35,0,92,-45,10,44,10,73,21,-58,-5,-91,48,-97,82,98,9,43,-7,-92,30,57,-53,-39,15,-82,-63,75,53,10,-14,-91,3,11,6,-28,-68,65,29,80,78,-70,-37,-21,45,-90,-96,82,82,5,-43,17,-43,-16,-48,-93,81,-50,28,-86,95,-40,-93,-100,-42,71,14,55,58,-100,70,-90,50,-40,-29,-27,-49,61,-27,1,33,-99,82,52,91,-87,55,-65,-77,-27,-46,-48,-37,-30,47,47,-85,92,66,4,-85,-11,-67,-21,11,73,-14,-54,14,-60,2,-54,86,-79,-97,-12,89,29,-96,-98,-99,-37,51,-90,16,-56,-56]
[-73,99,-78,-14,74,-73,-11,9,78,-55,-90,-57,19,42,11,-8,83,-94,-70,-3,98,38,58,-6,-97,23,-8,55,68,14,74,-12,-45,-83,-63,-32,-87,79,-62,-28,8,-22,77,-53,63,-28,-45,-11,-20,36,89,76,69,-45,18,14,-61,-62,-100,-27,25,5,65,92,60,17,-87,-93,58,-86,-42,52,40,-16,80,-90,-25,-61,98,33,-82,-36,21,52,22,46,67,-100,-78,77,-41,-50,-91,70,67,-81,-95,-41,58,34,37,8,-49,-38,86,51,21,8,-54,-1,-79,-50,49,59,85,-91,61,-47,87,12,67,-55,-95,34,-63,-16,-15,87,99,-48,-84,54,-63,-38,71,5,-28,-63,-26,24,-47,9,16,-85,68,96,-61,-66,17,-60,-100,94,-34,29,74,41,85,-53,-28,66,-15,43,23,-65,-1,7,84,-65,88,52,-62,-89,99,-48,-72,-9,40,35,38,-47,-22,-99,20,9,85,25,2,91,48,24,58,-87,-12,65,-45,-12,23,-33,-24,-74]
